power,T,MOMF,DIRECTION32,WS30,WS31,WS32,WS10,WS10S,DIRECTION30,DIRECTION31,DIR10,DIR10S,MSLP,CLC,SENF,LATF,SWR,LWR,PS,PRT,PRL,PRC,T2M,RH2M
36,284.37,0.06,1.64,7.73,6.51,4.78,2.53,2.88,12.34,8.75,9.73,9.37,1015.54,3.62,-4.34,21.9,0.96,-81.95,863.89,0,0,0,282.77,62.22
32,284.16,0.06,4.55,7.62,6.46,4.72,2.48,2.82,15.12,11.76,6.4,6.05,1015.6,4.16,-4.1,20.79,0.97,-81.75,863.89,0,0,0,282.57,62.76
31,283.94,0.05,7.45,7.52,6.4,4.67,2.42,2.75,17.89,14.77,3.06,2.73,1015.65,4.71,-3.85,19.69,0.98,-81.54,863.9,0,0,0,282.36,63.3
33,283.73,0.05,10.36,7.41,6.35,4.62,2.37,2.69,20.67,17.78,359.73,359.41,1015.71,5.25,-3.61,18.58,0.99,-81.34,863.9,0,0,0,282.16,63.84
31,283.53,0.05,13.25,7.24,6.25,4.55,2.31,2.63,23.34,20.65,12.99,12.62,1015.78,6.42,-3.38,17.56,1.01,-81.06,863.92,0,0,0,281.96,64.36
29,283.33,0.05,16.12,7.01,6.12,4.44,2.26,2.57,25.91,23.39,16.16,15.8,1015.86,8.23,-3.17,16.62,1.03,-80.7,863.96,0,0,0,281.75,64.86
24,283.15,0.04,18.98,6.77,5.98,4.34,2.21,2.52,28.48,26.13,19.34,18.97,1015.95,10.04,-2.96,15.68,1.05,-80.33,864.01,0,0,0,281.55,65.37
21,284.66,0.04,270.23,5.6,4.03,3.12,2.02,2.27,273.41,269.21,259.62,261.18,1014.86,6.65,-2.69,13.71,0.92,-72.86,863.08,0,0,0,282.46,66.18
21,284.53,0.04,277.41,4.99,3.53,2.76,1.87,2.1,279.3,276.26,262.76,264.48,1015.01,5.37,-2.29,11.59,0.92,-73.07,863.12,0,0,0,282.25,67.09
17,284.39,0.03,289.08,4.41,3.08,2.46,1.74,1.95,288.23,287.77,267.03,268.99,1015.01,4.7,-2.03,10.14,0.92,-73.17,863.06,0,0,0,282.05,67.98
15,284.26,0.03,300.75,3.83,2.64,2.15,1.61,1.8,297.15,299.29,271.3,273.51,1015,4.03,-1.78,8.68,0.91,-73.26,862.99,0,0,0,281.83,68.88
14,284.12,0.02,312.42,3.25,2.19,1.85,1.48,1.65,306.08,310.8,275.57,278.02,1015,3.36,-1.52,7.23,0.91,-73.36,862.93,0,0,0,281.62,69.77
12,283.96,0.02,8.18,3.02,2.11,1.82,1.38,1.53,6.96,13,283.35,286.2,1015.06,2.85,-1.32,6.16,0.91,-73.38,862.91,0,0,0,281.41,70.64
11,283.76,0.02,353.92,3.15,2.4,2.06,1.31,1.46,350.84,356.87,294.62,298.03,1015.19,2.52,-1.19,5.47,0.91,-73.31,862.92,0,0,0,281.18,71.47
10,283.58,0.01,339.65,3.27,2.68,2.29,1.24,1.4,334.72,340.75,305.89,309.86,1015.31,2.18,-1.06,4.79,0.91,-73.24,862.94,0,0,0,280.95,72.31
8,283.39,0.01,325.39,3.4,2.97,2.53,1.17,1.33,318.6,324.62,317.16,321.69,1015.44,1.85,-0.93,4.1,0.91,-73.17,862.95,0,0,0,280.72,73.14
6,283.18,0.01,17.55,3.74,3.37,2.83,1.18,1.34,18.12,23.4,0.34,3.65,1015.59,1.73,-0.88,4.05,0.92,-73.09,862.99,0,0,0,280.54,73.73
5,282.96,0.01,22.02,4.29,3.89,3.21,1.26,1.44,24.33,28.09,349.61,353.35,1015.76,1.82,-0.92,4.63,0.93,-72.99,863.05,0,0,0,280.4,74.07
3,282.74,0.02,26.48,4.85,4.41,3.57,1.33,1.53,30.54,32.77,338.89,343.06,1015.93,1.92,-0.97,5.21,0.94,-72.9,863.11,0,0,0,280.25,74.4
1,282.52,0.02,30.95,5.4,4.93,3.94,1.41,1.63,36.75,37.46,328.16,332.76,1016.1,2.01,-1.01,5.79,0.95,-72.8,863.17,0,0,0,280.11,74.74
1,282.28,0.02,35.07,5.81,5.3,4.19,1.52,1.76,41.73,41.49,9.45,12.35,1016.26,2.95,-1.15,6.91,0.97,-72.72,863.23,0,0,0,279.98,74.85
0,282.03,0.02,38.83,6.07,5.53,4.32,1.67,1.92,45.48,44.86,16.96,19.44,1016.4,4.72,-1.38,8.57,1,-72.67,863.3,0,0,0,279.87,74.74
0,281.77,0.03,42.58,6.32,5.75,4.44,1.81,2.08,49.23,48.24,24.46,26.53,1016.53,6.5,-1.61,10.24,1.04,-72.62,863.37,0,0,0,279.75,74.63
0,281.52,0.03,46.34,6.58,5.98,4.57,1.96,2.24,52.98,51.61,31.97,33.62,1016.67,8.27,-1.84,11.9,1.06,-72.57,863.44,0,0,0,279.64,74.52
0,281.28,0.03,50.14,6.74,6.11,4.63,2.08,2.37,56.78,55.16,38.07,39.49,1016.81,9.94,-2.09,13.29,9.39,-72.38,863.5,0,0,0,279.54,74.33
0,281.07,0.04,53.99,6.79,6.15,4.63,2.17,2.47,60.65,58.88,42.77,44.13,1016.96,11.49,-2.34,14.41,26.01,-72.03,863.57,0,0,0,279.47,74.07
0,280.86,0.04,57.84,6.85,6.18,4.64,2.27,2.56,64.51,62.61,47.47,48.78,1017.11,13.04,-2.6,15.53,42.62,-71.69,863.64,0,0,0,279.4,73.82
0,280.65,0.05,61.69,6.9,6.22,4.64,2.36,2.66,68.38,66.33,52.17,53.42,1017.26,14.59,-2.85,16.65,59.24,-71.34,863.71,0,0,0,279.33,73.56
0,280.52,0.06,65.57,6.81,6.1,4.54,2.47,2.76,72,69.92,56.76,57.93,1017.25,16.53,-3.76,15.74,85.27,-71.87,863.77,0,0,0,279.39,72.62
